order_id,customer_id,customer_name,product1,product2,product3,order_date,state,city
OD040,CUST0004,Meena,NULL,Eggs,Chicken,08-08-2025,Tamil Nadu,Tiruchirappalli
OD041,CUST0006,Priya,Red Chili Powder,Turmeric Powder,NULL,14-03-2025,Tamil Nadu,Madurai
OD042,CUST0008,Anita,Coke,NULL,Pepsi,27-06-2025,Tamil Nadu,Salem
OD043,CUST0010,Kiran,Milk,Bread,Butter,20-04-2025,Tamil Nadu,Tiruchirappalli
OD044,CUST0001,Harish,Salt,NULL,Sugar,29-05-2025,Tamil Nadu,Chennai
OD045,CUST0009,Ravi,NULL,Rice,Wheat Flour,12-07-2025,Tamil Nadu,Coimbatore
OD046,CUST0007,Ram,Paneer,Biscuit,Oil,28-02-2025,Tamil Nadu,Salem
OD047,CUST0003,Hussain,Lays,Pepsi,NULL,25-03-2025,Tamil Nadu,Coimbatore
OD048,CUST0005,Ajay,Horlicks,Boost,NULL,06-06-2025,Tamil Nadu,Salem
OD049,CUST0002,Sudha,Milk,NULL,Eggs,14-04-2025,Tamil Nadu,Coimbatore
OD050,CUST0004,Meena,Bread,Butter,NULL,23-05-2025,Tamil Nadu,Tiruchirappalli
OD051,CUST0001,Harish,Rice,Milk,NULL,05-06-2025,Tamil Nadu,Coimbatore
OD052,CUST0002,Sudha,Bread,Butter,Paneer,12-06-2025,Tamil Nadu,Chennai
OD053,CUST0003,Hussain,Pepsi,Lays,NULL,18-06-2025,Tamil Nadu,Coimbatore
OD054,CUST0004,Meena,Chicken,NULL,Eggs,02-07-2025,Tamil Nadu,Chennai
OD055,CUST0005,Ajay,Horlicks,Boost,NULL,08-07-2025,Tamil Nadu,Tiruchirappalli
OD056,CUST0006,Priya,Milk,Biscuit,NULL,14-07-2025,Tamil Nadu,Salem
OD057,CUST0007,Ram,Oil,Salt,Sugar,20-07-2025,Tamil Nadu,Tiruchirappalli
OD058,CUST0008,Anita,Paneer,NULL,Coke,03-08-2025,Tamil Nadu,Coimbatore
OD059,CUST0009,Ravi,Lays,Pepsi,NULL,11-08-2025,Tamil Nadu,Chennai
OD060,CUST0010,Kiran,Wheat Flour,Rice,NULL,19-08-2025,Tamil Nadu,Coimbatore
OD061,CUST0001,Harish,Bread,NULL,Butter,01-09-2025,Tamil Nadu,Chennai
OD062,CUST0002,Sudha,Milk,NULL,Eggs,07-09-2025,Tamil Nadu,Salem
OD063,CUST0003,Hussain,Coke,Pepsi,NULL,12-09-2025,Tamil Nadu,Salem
OD064,CUST0004,Meena,Chicken,Biscuit,NULL,18-09-2025,Tamil Nadu,Chennai
OD065,CUST0005,Ajay,Boost,Horlicks,NULL,25-09-2025,Tamil Nadu,Salem
OD066,CUST0006,Priya,Rice,Milk,NULL,07-06-2025,Tamil Nadu,Salem
OD067,CUST0007,Ram,Bread,Butter,NULL,15-06-2025,Tamil Nadu,Salem
OD068,CUST0008,Anita,Wheat Flour,NULL,Eggs,22-06-2025,Tamil Nadu,Tiruchirappalli
OD069,CUST0009,Ravi,Pepsi,NULL,Coke,03-07-2025,Tamil Nadu,Chennai
OD070,CUST0010,Kiran,Lays,Biscuit,NULL,09-07-2025,Tamil Nadu,Chennai
OD071,CUST0001,Harish,Milk,Paneer,NULL,16-07-2025,Tamil Nadu,Tiruchirappalli
OD072,CUST0002,Sudha,Chicken,Rice,NULL,21-07-2025,Tamil Nadu,Madurai
OD073,CUST0003,Hussain,Horlicks,Boost,NULL,01-08-2025,Tamil Nadu,Coimbatore
OD074,CUST0004,Meena,Oil,Salt,Sugar,06-08-2025,Tamil Nadu,Tiruchirappalli
OD075,CUST0005,Ajay,Paneer,NULL,Coke,12-08-2025,Tamil Nadu,Coimbatore
OD076,CUST0006,Priya,Pepsi,Lays,NULL,18-08-2025,Tamil Nadu,Coimbatore
OD077,CUST0007,Ram,Wheat Flour,Rice,NULL,25-08-2025,Tamil Nadu,Chennai
OD078,CUST0008,Anita,Bread,NULL,Butter,02-09-2025,Tamil Nadu,Madurai
OD079,CUST0009,Ravi,Milk,NULL,Eggs,06-09-2025,Tamil Nadu,Coimbatore
OD080,CUST0010,Kiran,Coke,Pepsi,NULL,11-09-2025,Tamil Nadu,Madurai
OD081,CUST0001,Harish,Chicken,Biscuit,NULL,17-09-2025,Tamil Nadu,Chennai
OD082,CUST0002,Sudha,Boost,Horlicks,NULL,24-09-2025,Tamil Nadu,Madurai
OD083,CUST0003,Hussain,Rice,Milk,NULL,08-06-2025,Tamil Nadu,Chennai
OD084,CUST0004,Meena,Bread,Butter,NULL,13-06-2025,Tamil Nadu,Coimbatore
OD085,CUST0005,Ajay,Wheat Flour,NULL,Eggs,20-06-2025,Tamil Nadu,Madurai
OD086,CUST0006,Priya,Pepsi,NULL,Coke,04-07-2025,Tamil Nadu,Coimbatore
OD087,CUST0007,Ram,Lays,Biscuit,NULL,10-07-2025,Tamil Nadu,Chennai
OD088,CUST0008,Anita,Milk,Paneer,NULL,15-07-2025,Tamil Nadu,Madurai
OD089,CUST0009,Ravi,Chicken,Rice,NULL,22-07-2025,Tamil Nadu,Coimbatore
OD090,CUST0010,Kiran,Horlicks,Boost,NULL,02-08-2025,Tamil Nadu,Coimbatore
OD091,CUST0001,Harish,Oil,Salt,Sugar,07-08-2025,Tamil Nadu,Coimbatore
OD092,CUST0002,Sudha,Paneer,NULL,Coke,13-08-2025,Tamil Nadu,Coimbatore
OD093,CUST0003,Hussain,Pepsi,Lays,NULL,19-08-2025,Tamil Nadu,Coimbatore
OD094,CUST0004,Meena,Wheat Flour,Rice,NULL,26-08-2025,Tamil Nadu,Coimbatore
OD095,CUST0005,Ajay,Bread,NULL,Butter,03-09-2025,Tamil Nadu,Salem
OD096,CUST0006,Priya,Milk,NULL,Eggs,08-09-2025,Tamil Nadu,Salem
OD097,CUST0007,Ram,Coke,Pepsi,NULL,13-09-2025,Tamil Nadu,Chennai
OD098,CUST0008,Anita,Chicken,Biscuit,NULL,19-09-2025,Tamil Nadu,Salem
OD099,CUST0009,Ravi,Boost,Horlicks,NULL,26-09-2025,Tamil Nadu,Madurai
OD100,CUST0010,Kiran,Rice,Milk,NULL,09-06-2025,Tamil Nadu,Chennai
OD101,CUST0001,Harish,Bread,Butter,NULL,16-06-2025,Tamil Nadu,Coimbatore
OD102,CUST0002,Sudha,Wheat Flour,NULL,Eggs,23-06-2025,Tamil Nadu,Chennai
OD103,CUST0003,Hussain,Pepsi,NULL,Coke,05-07-2025,Tamil Nadu,Chennai
OD104,CUST0004,Meena,Lays,Biscuit,NULL,11-07-2025,Tamil Nadu,Tiruchirappalli
OD105,CUST0005,Ajay,Milk,Paneer,NULL,17-07-2025,Tamil Nadu,Coimbatore
OD106,CUST0006,Priya,Chicken,Rice,NULL,23-07-2025,Tamil Nadu,Madurai
OD107,CUST0007,Ram,Horlicks,Boost,NULL,04-08-2025,Tamil Nadu,Tiruchirappalli
OD108,CUST0008,Anita,Oil,Salt,Sugar,09-08-2025,Tamil Nadu,Coimbatore
OD109,CUST0009,Ravi,Paneer,NULL,Coke,15-08-2025,Tamil Nadu,Coimbatore
OD110,CUST0010,Kiran,Pepsi,Lays,NULL,21-08-2025,Tamil Nadu,Coimbatore
OD111,CUST0003,Hussain,Fish,Salt,Biscuit,30-04-2025,Tamil Nadu,Chennai
OD112,CUST0007,Ram,NULL,Chicken,Butter,10-06-2025,Tamil Nadu,Tiruchirappalli
OD113,CUST0007,Ram,Lays,Oil,NULL,21-05-2025,Tamil Nadu,Coimbatore
OD114,CUST0003,Hussain,Coke,Paneer,Sugar,14-06-2025,Tamil Nadu,Coimbatore
OD115,CUST0005,Ajay,Wheat Flour,NULL,Horlicks,01-02-2025,Tamil Nadu,Tiruchirappalli
OD116,CUST0001,Harish,Milk,Bread,Butter,12-03-2025,Tamil Nadu,Madurai
OD117,CUST0004,Meena,Pepsi,NULL,Red Chili Powder,05-07-2025,Tamil Nadu,Chennai
OD118,CUST0009,Ravi,Rice,Oil,Sugar,25-01-2025,Tamil Nadu,Coimbatore
OD119,CUST0010,Kiran,NULL,Eggs,Milk,17-05-2025,Tamil Nadu,Madurai
OD120,CUST0002,Sudha,Biscuit,Horlicks,NULL,30-03-2025,Tamil Nadu,Salem
OD121,CUST0006,Priya,Lays,Pepsi,Bread,15-07-2025,Tamil Nadu,Salem
OD122,CUST0008,Anita,Paneer,Coke,NULL,02-05-2025,Tamil Nadu,Salem
OD123,CUST0005,Ajay,Wheat Flour,Oil,Milk,25-06-2025,Tamil Nadu,Salem
OD124,CUST0010,Kiran,Fish,Biscuit,NULL,11-08-2025,Tamil Nadu,Salem
OD125,CUST0001,Harish,Rice,Salt,Sugar,18-02-2025,Tamil Nadu,Coimbatore
OD126,CUST0009,Ravi,Horlicks,NULL,Boost,22-03-2025,Tamil Nadu,Coimbatore
OD127,CUST0002,Sudha,Bread,Butter,Paneer,09-01-2025,Tamil Nadu,Coimbatore
OD128,CUST0007,Ram,Pepsi,Coke,NULL,03-06-2025,Tamil Nadu,Salem
OD129,CUST0004,Meena,Chicken,NULL,Eggs,28-07-2025,Tamil Nadu,Madurai
OD130,CUST0003,Hussain,Turmeric Powder,NULL,Red Chili Powder,24-02-2025,Tamil Nadu,Chennai
OD131,CUST0008,Anita,Milk,NULL,Bread,06-03-2025,Tamil Nadu,Madurai
OD132,CUST0006,Priya,Boost,Horlicks,Biscuit,25-05-2025,Tamil Nadu,Tiruchirappalli
OD133,CUST0010,Kiran,NULL,Fish,Rice,07-04-2025,Tamil Nadu,Madurai
OD134,CUST0001,Harish,Bread,NULL,Butter,09-07-2025,Tamil Nadu,Coimbatore
OD135,CUST0009,Ravi,Pepsi,Lays,NULL,19-06-2025,Tamil Nadu,Salem
OD136,CUST0007,Ram,Paneer,Sugar,Oil,05-08-2025,Tamil Nadu,Chennai
OD137,CUST0003,Hussain,Wheat Flour,Rice,NULL,30-01-2025,Tamil Nadu,Salem
OD138,CUST0005,Ajay,NULL,Eggs,Milk,18-03-2025,Tamil Nadu,Coimbatore
OD139,CUST0002,Sudha,Horlicks,NULL,Boost,12-05-2025,Tamil Nadu,Madurai
OD140,CUST0004,Meena,Coke,NULL,Pepsi,21-06-2025,Tamil Nadu,Chennai
OD141,CUST0006,Priya,Butter,Bread,NULL,02-04-2025,Tamil Nadu,Tiruchirappalli
OD142,CUST0008,Anita,Fish,NULL,Chicken,10-02-2025,Tamil Nadu,Coimbatore
OD143,CUST0010,Kiran,Rice,Wheat Flour,NULL,27-03-2025,Tamil Nadu,Coimbatore
OD144,CUST0001,Harish,NULL,Milk,Paneer,18-07-2025,Tamil Nadu,Coimbatore
OD145,CUST0009,Ravi,Oil,Salt,Sugar,01-06-2025,Tamil Nadu,Madurai
OD146,CUST0007,Ram,Biscuit,NULL,Horlicks,06-05-2025,Tamil Nadu,Salem
OD147,CUST0003,Hussain,Pepsi,Lays,Bread,30-07-2025,Tamil Nadu,Tiruchirappalli
OD148,CUST0005,Ajay,Boost,NULL,Horlicks,11-04-2025,Tamil Nadu,Coimbatore
OD149,CUST0002,Sudha,Butter,Paneer,NULL,20-02-2025,Tamil Nadu,Salem
OD150,CUST0004,Meena,NULL,Eggs,Chicken,08-08-2025,Tamil Nadu,Chennai
OD151,CUST0006,Priya,Red Chili Powder,Turmeric Powder,NULL,14-03-2025,Tamil Nadu,Tiruchirappalli
OD152,CUST0008,Anita,Coke,NULL,Pepsi,27-06-2025,Tamil Nadu,Tiruchirappalli
OD153,CUST0010,Kiran,Milk,Bread,Butter,20-04-2025,Tamil Nadu,Madurai
OD154,CUST0001,Harish,Salt,NULL,Sugar,29-05-2025,Tamil Nadu,Madurai
OD155,CUST0009,Ravi,NULL,Rice,Wheat Flour,12-07-2025,Tamil Nadu,Chennai
OD156,CUST0007,Ram,Paneer,Biscuit,Oil,28-02-2025,Tamil Nadu,Madurai
OD157,CUST0003,Hussain,Lays,Pepsi,NULL,25-03-2025,Tamil Nadu,Chennai
OD158,CUST0005,Ajay,Horlicks,Boost,NULL,06-06-2025,Tamil Nadu,Coimbatore
OD159,CUST0002,Sudha,Milk,NULL,Eggs,14-04-2025,Tamil Nadu,Coimbatore
OD160,CUST0004,Meena,Bread,Butter,NULL,23-05-2025,Tamil Nadu,Salem
OD161,CUST0001,Harish,Rice,Milk,NULL,05-06-2025,Tamil Nadu,Chennai
OD162,CUST0002,Sudha,Bread,Butter,Paneer,12-06-2025,Tamil Nadu,Salem
OD163,CUST0003,Hussain,Pepsi,Lays,NULL,18-06-2025,Tamil Nadu,Salem
OD164,CUST0004,Meena,Chicken,NULL,Eggs,02-07-2025,Tamil Nadu,Tiruchirappalli
OD165,CUST0005,Ajay,Horlicks,Boost,NULL,08-07-2025,Tamil Nadu,Tiruchirappalli
OD166,CUST0006,Priya,Milk,Biscuit,NULL,14-07-2025,Tamil Nadu,Coimbatore
OD167,CUST0007,Ram,Oil,Salt,Sugar,20-07-2025,Tamil Nadu,Chennai
OD168,CUST0008,Anita,Paneer,NULL,Coke,03-08-2025,Tamil Nadu,Tiruchirappalli
OD169,CUST0009,Ravi,Lays,Pepsi,NULL,11-08-2025,Tamil Nadu,Madurai
OD170,CUST0010,Kiran,Wheat Flour,Rice,NULL,19-08-2025,Tamil Nadu,Tiruchirappalli
OD171,CUST0001,Harish,Bread,NULL,Butter,01-09-2025,Tamil Nadu,Madurai
OD172,CUST0002,Sudha,Milk,NULL,Eggs,07-09-2025,Tamil Nadu,Madurai
OD173,CUST0003,Hussain,Coke,Pepsi,NULL,12-09-2025,Tamil Nadu,Tiruchirappalli
OD174,CUST0004,Meena,Chicken,Biscuit,NULL,18-09-2025,Tamil Nadu,Salem
OD175,CUST0005,Ajay,Boost,Horlicks,NULL,25-09-2025,Tamil Nadu,Coimbatore
OD176,CUST0006,Priya,Rice,Milk,NULL,07-06-2025,Tamil Nadu,Coimbatore
OD177,CUST0007,Ram,Bread,Butter,NULL,15-06-2025,Tamil Nadu,Chennai
OD178,CUST0008,Anita,Wheat Flour,NULL,Eggs,22-06-2025,Tamil Nadu,Tiruchirappalli
OD179,CUST0009,Ravi,Pepsi,NULL,Coke,03-07-2025,Tamil Nadu,Salem
OD180,CUST0010,Kiran,Lays,Biscuit,NULL,09-07-2025,Tamil Nadu,Coimbatore
OD181,CUST0001,Harish,Milk,Paneer,NULL,16-07-2025,Tamil Nadu,Chennai
OD182,CUST0002,Sudha,Chicken,Rice,NULL,21-07-2025,Tamil Nadu,Salem
OD183,CUST0003,Hussain,Horlicks,Boost,NULL,01-08-2025,Tamil Nadu,Coimbatore
OD184,CUST0004,Meena,Oil,Salt,Sugar,06-08-2025,Tamil Nadu,Chennai
OD185,CUST0005,Ajay,Paneer,NULL,Coke,12-08-2025,Tamil Nadu,Chennai
OD186,CUST0006,Priya,Pepsi,Lays,NULL,18-08-2025,Tamil Nadu,Tiruchirappalli
OD187,CUST0007,Ram,Wheat Flour,Rice,NULL,25-08-2025,Tamil Nadu,Tiruchirappalli
OD188,CUST0008,Anita,Bread,NULL,Butter,02-09-2025,Tamil Nadu,Salem
OD189,CUST0009,Ravi,Milk,NULL,Eggs,06-09-2025,Tamil Nadu,Salem
OD190,CUST0010,Kiran,Coke,Pepsi,NULL,11-09-2025,Tamil Nadu,Chennai
OD191,CUST0001,Harish,Chicken,Biscuit,NULL,17-09-2025,Tamil Nadu,Coimbatore
OD192,CUST0002,Sudha,Boost,Horlicks,NULL,24-09-2025,Tamil Nadu,Salem
OD193,CUST0003,Hussain,Rice,Milk,NULL,08-06-2025,Tamil Nadu,Salem
OD194,CUST0004,Meena,Bread,Butter,NULL,13-06-2025,Tamil Nadu,Tiruchirappalli
OD195,CUST0005,Ajay,Wheat Flour,NULL,Eggs,20-06-2025,Tamil Nadu,Chennai
OD196,CUST0006,Priya,Pepsi,NULL,Coke,04-07-2025,Tamil Nadu,Madurai
OD197,CUST0007,Ram,Lays,Biscuit,NULL,10-07-2025,Tamil Nadu,Salem
OD198,CUST0008,Anita,Milk,Paneer,NULL,15-07-2025,Tamil Nadu,Chennai
OD199,CUST0009,Ravi,Chicken,Rice,NULL,22-07-2025,Tamil Nadu,Madurai
OD200,CUST0010,Kiran,Horlicks,Boost,NULL,02-08-2025,Tamil Nadu,Tiruchirappalli
OD201,CUST0001,Harish,Oil,Salt,Sugar,07-08-2025,Tamil Nadu,Chennai
OD202,CUST0002,Sudha,Paneer,NULL,Coke,13-08-2025,Tamil Nadu,Salem
OD203,CUST0003,Hussain,Pepsi,Lays,NULL,19-08-2025,Tamil Nadu,Chennai
OD204,CUST0004,Meena,Wheat Flour,Rice,NULL,26-08-2025,Tamil Nadu,Madurai
OD205,CUST0005,Ajay,Bread,NULL,Butter,03-09-2025,Tamil Nadu,Tiruchirappalli
OD206,CUST0006,Priya,Milk,NULL,Eggs,08-09-2025,Tamil Nadu,Madurai
OD207,CUST0007,Ram,Coke,Pepsi,NULL,13-09-2025,Tamil Nadu,Coimbatore
OD208,CUST0008,Anita,Chicken,Biscuit,NULL,19-09-2025,Tamil Nadu,Chennai
OD209,CUST0009,Ravi,Boost,Horlicks,NULL,26-09-2025,Tamil Nadu,Tiruchirappalli
OD210,CUST0010,Kiran,Rice,Milk,NULL,09-06-2025,Tamil Nadu,Madurai
OD211,CUST0001,Harish,Bread,Butter,NULL,16-06-2025,Tamil Nadu,Madurai
OD212,CUST0002,Sudha,Wheat Flour,NULL,Eggs,23-06-2025,Tamil Nadu,Tiruchirappalli
OD213,CUST0003,Hussain,Pepsi,NULL,Coke,05-07-2025,Tamil Nadu,Tiruchirappalli
OD214,CUST0004,Meena,Lays,Biscuit,NULL,11-07-2025,Tamil Nadu,Madurai
OD215,CUST0005,Ajay,Milk,Paneer,NULL,17-07-2025,Tamil Nadu,Tiruchirappalli
OD216,CUST0006,Priya,Chicken,Rice,NULL,23-07-2025,Tamil Nadu,Coimbatore
OD217,CUST0007,Ram,Horlicks,Boost,NULL,04-08-2025,Tamil Nadu,Coimbatore
OD218,CUST0008,Anita,Oil,Salt,Sugar,09-08-2025,Tamil Nadu,Salem
OD219,CUST0009,Ravi,Paneer,NULL,Coke,15-08-2025,Tamil Nadu,Chennai
OD220,CUST0010,Kiran,Pepsi,Lays,NULL,21-08-2025,Tamil Nadu,Coimbatore
OD221,CUST0003,Hussain,Fish,Salt,Biscuit,30-04-2025,Tamil Nadu,Salem
OD222,CUST0007,Ram,NULL,Chicken,Butter,10-06-2025,Tamil Nadu,Salem
OD223,CUST0007,Ram,Lays,Oil,NULL,21-05-2025,Tamil Nadu,Chennai
OD224,CUST0003,Hussain,Coke,Paneer,Sugar,14-06-2025,Tamil Nadu,Salem
OD225,CUST0005,Ajay,Wheat Flour,NULL,Horlicks,01-02-2025,Tamil Nadu,Madurai
OD226,CUST0001,Harish,Milk,Bread,Butter,12-03-2025,Tamil Nadu,Madurai
OD227,CUST0004,Meena,Pepsi,NULL,Red Chili Powder,05-07-2025,Tamil Nadu,Madurai
OD228,CUST0009,Ravi,Rice,Oil,Sugar,25-01-2025,Tamil Nadu,Madurai
OD229,CUST0010,Kiran,NULL,Eggs,Milk,17-05-2025,Tamil Nadu,Chennai
OD230,CUST0002,Sudha,Biscuit,Horlicks,NULL,30-03-2025,Tamil Nadu,Tiruchirappalli
OD231,CUST0006,Priya,Lays,Pepsi,Bread,15-07-2025,Tamil Nadu,Tiruchirappalli
OD232,CUST0008,Anita,Paneer,Coke,NULL,02-05-2025,Tamil Nadu,Salem
OD233,CUST0005,Ajay,Wheat Flour,Oil,Milk,25-06-2025,Tamil Nadu,Coimbatore
OD234,CUST0010,Kiran,Fish,Biscuit,NULL,11-08-2025,Tamil Nadu,Tiruchirappalli
OD235,CUST0001,Harish,Rice,Salt,Sugar,18-02-2025,Tamil Nadu,Madurai
OD236,CUST0009,Ravi,Horlicks,NULL,Boost,22-03-2025,Tamil Nadu,Coimbatore
OD237,CUST0002,Sudha,Bread,Butter,Paneer,09-01-2025,Tamil Nadu,Chennai
OD238,CUST0007,Ram,Pepsi,Coke,NULL,03-06-2025,Tamil Nadu,Salem
OD239,CUST0004,Meena,Chicken,NULL,Eggs,28-07-2025,Tamil Nadu,Tiruchirappalli
OD240,CUST0003,Hussain,Turmeric Powder,NULL,Red Chili Powder,24-02-2025,Tamil Nadu,Salem
OD241,CUST0008,Anita,Milk,NULL,Bread,06-03-2025,Tamil Nadu,Salem
OD242,CUST0006,Priya,Boost,Horlicks,Biscuit,25-05-2025,Tamil Nadu,Chennai
OD243,CUST0010,Kiran,NULL,Fish,Rice,07-04-2025,Tamil Nadu,Salem
OD244,CUST0001,Harish,Bread,NULL,Butter,09-07-2025,Tamil Nadu,Coimbatore
OD245,CUST0009,Ravi,Pepsi,Lays,NULL,19-06-2025,Tamil Nadu,Coimbatore
OD246,CUST0007,Ram,Paneer,Sugar,Oil,05-08-2025,Tamil Nadu,Coimbatore
OD247,CUST0003,Hussain,Wheat Flour,Rice,NULL,30-01-2025,Tamil Nadu,Madurai
OD248,CUST0005,Ajay,NULL,Eggs,Milk,18-03-2025,Tamil Nadu,Tiruchirappalli
OD249,CUST0002,Sudha,Horlicks,NULL,Boost,12-05-2025,Tamil Nadu,Madurai
OD250,CUST0004,Meena,Coke,NULL,Pepsi,21-06-2025,Tamil Nadu,Salem
OD251,CUST0006,Priya,Butter,Bread,NULL,02-04-2025,Tamil Nadu,Madurai
OD252,CUST0008,Anita,Fish,NULL,Chicken,10-02-2025,Tamil Nadu,Coimbatore
OD253,CUST0010,Kiran,Rice,Wheat Flour,NULL,27-03-2025,Tamil Nadu,Madurai
OD254,CUST0001,Harish,NULL,Milk,Paneer,18-07-2025,Tamil Nadu,Salem
OD255,CUST0009,Ravi,Oil,Salt,Sugar,01-06-2025,Tamil Nadu,Coimbatore
OD256,CUST0007,Ram,Biscuit,NULL,Horlicks,06-05-2025,Tamil Nadu,Madurai
OD257,CUST0003,Hussain,Pepsi,Lays,Bread,30-07-2025,Tamil Nadu,Tiruchirappalli
OD258,CUST0005,Ajay,Boost,NULL,Horlicks,11-04-2025,Tamil Nadu,Tiruchirappalli
OD259,CUST0002,Sudha,Butter,Paneer,NULL,20-02-2025,Tamil Nadu,Chennai
OD260,CUST0004,Meena,NULL,Eggs,Chicken,08-08-2025,Tamil Nadu,Chennai
OD261,CUST0006,Priya,Red Chili Powder,Turmeric Powder,NULL,14-03-2025,Tamil Nadu,Salem
OD262,CUST0008,Anita,Coke,NULL,Pepsi,27-06-2025,Tamil Nadu,Coimbatore
OD263,CUST0010,Kiran,Milk,Bread,Butter,20-04-2025,Tamil Nadu,Chennai
OD264,CUST0001,Harish,Salt,NULL,Sugar,29-05-2025,Tamil Nadu,Madurai
OD265,CUST0009,Ravi,NULL,Rice,Wheat Flour,12-07-2025,Tamil Nadu,Tiruchirappalli
OD266,CUST0007,Ram,Paneer,Biscuit,Oil,28-02-2025,Tamil Nadu,Tiruchirappalli
OD267,CUST0003,Hussain,Lays,Pepsi,NULL,25-03-2025,Tamil Nadu,Coimbatore
OD268,CUST0005,Ajay,Horlicks,Boost,NULL,06-06-2025,Tamil Nadu,Madurai
OD269,CUST0002,Sudha,Milk,NULL,Eggs,14-04-2025,Tamil Nadu,Madurai
OD270,CUST0004,Meena,Bread,Butter,NULL,23-05-2025,Tamil Nadu,Coimbatore
OD271,CUST0001,Harish,Rice,Milk,NULL,05-06-2025,Tamil Nadu,Salem
OD272,CUST0002,Sudha,Bread,Butter,Paneer,12-06-2025,Tamil Nadu,Salem
OD273,CUST0003,Hussain,Pepsi,Lays,NULL,18-06-2025,Tamil Nadu,Coimbatore
OD274,CUST0004,Meena,Chicken,NULL,Eggs,02-07-2025,Tamil Nadu,Chennai
OD275,CUST0005,Ajay,Horlicks,Boost,NULL,08-07-2025,Tamil Nadu,Chennai
